Record_ID,Date,Day_Name,City,Area_Type,Citizen_ID,Age_Group,Work_Mode,Temperature_C,Rainfall_mm,AQI,Traffic_Level,Average_Traffic_Speed_kmh,Primary_Transport,Public_Transport_Usage_Minutes,Electricity_Consumption_kWh,Water_Consumption_Liters,Internet_Usage_GB,Online_Food_Orders,Daily_Spending_INR,Hospital_Visits,Emergency_Complaints,Work_Hours,Outdoor_Activity_Hours,Happiness_Score,Service_Satisfaction,Weekend,Month,Year,Day,Month_Name,Quarter
REC000001,2024-07-17,Wednesday,Mumbai,Residential,CIT356787,25-34,Office,31.4,0.7,47.0,Low,39.4,Auto,0,11.96,149,2.25,0,322.38,0,0,10.2,4.2,8.7,8.4,No,7,2024,17,July,3
REC000002,2025-01-05,Sunday,Mumbai,Residential,CIT988662,25-34,Hybrid,21.2,2.5,105.0,Medium,30.8,Private Vehicle,0,5.81,79,0.97,1,1055.15,0,0,6.2,1.8,8.7,9.0,Yes,1,2025,5,January,1
REC000003,2024-12-28,Saturday,Hyderabad,Residential,CIT319684,35-44,Office,20.6,2.0,93.0,Low,54.8,Cab,0,5.23,121,5.8,0,99.29,0,0,8.3,2.0,8.8,10.0,Yes,12,2024,28,December,4
REC000004,2023-10-13,Friday,Jaipur,Residential,CIT358607,35-44,Other,21.8,0.5,84.0,Low,55.0,Auto,0,6.25,156,4.15,0,208.41,0,0,0.5,0.8,5.3,7.6,No,10,2023,13,October,4
REC000005,2023-08-23,Wednesday,Delhi,Commercial,CIT814825,45-54,Hybrid,29.3,2.8,144.0,Low,49.4,Private Vehicle,0,14.5,131,2.81,1,1088.1,0,0,7.0,2.4,8.9,10.0,No,8,2023,23,August,3
REC000006,2025-01-13,Monday,Jaipur,Residential,CIT972064,45-54,Work From Home,28.1,0.1,210.0,Medium,23.1,Private Vehicle,0,4.46,147,2.7,0,461.72,0,0,7.7,1.9,8.1,9.3,No,1,2025,13,January,1
REC000007,2025-11-25,Tuesday,Hyderabad,Residential,CIT573417,18-24,Work From Home,23.4,1.2,111.0,Low,49.2,Metro,26,12.13,152,2.11,0,812.68,0,0,8.9,3.2,7.5,7.5,No,11,2025,25,November,4
REC000008,2025-08-14,Thursday,Hyderabad,Residential,CIT864491,18-24,Office,34.4,0.5,100.0,Low,45.7,Metro,38,5.7,55,4.8,0,1214.98,0,0,9.6,0.2,7.1,7.1,No,8,2025,14,August,3
REC000009,2024-03-13,Wednesday,Pune,Commercial,CIT520521,55+,Work From Home,18.7,0.5,149.0,Medium,28.8,Walking/Cycling,0,13.32,143,3.56,0,554.34,0,0,8.3,0.4,6.9,8.1,No,3,2024,13,March,1
REC000010,2023-05-21,Sunday,Mumbai,Mixed Use,CIT723939,18-24,Work From Home,35.6,0.8,156.0,Low,36.6,Cab,0,10.06,109,3.07,0,631.75,0,0,6.5,1.3,7.3,6.4,Yes,5,2023,21,May,2
REC000011,2024-03-12,Tuesday,Mumbai,Residential,CIT630458,25-34,Hybrid,33.5,0.7,64.0,Severe,11.0,Cab,0,15.08,139,7.67,0,897.1,0,0,8.8,2.5,7.6,8.6,No,3,2024,12,March,1
REC000012,2024-06-24,Monday,Kolkata,Commercial,CIT629959,25-34,Office,36.4,0.8,114.0,Severe,10.4,Bus,94,12.86,99,3.09,0,1809.23,0,0,9.2,3.2,8.1,7.0,No,6,2024,24,June,2
REC000013,2024-03-06,Wednesday,Delhi,Mixed Use,CIT815198,25-34,Office,23.7,3.1,211.0,Severe,13.3,Bus,36,10.08,118,2.68,2,1521.19,0,0,8.6,1.2,5.5,5.5,No,3,2024,6,March,1
REC000014,2025-07-31,Thursday,Jaipur,Residential,CIT466643,25-34,Work From Home,34.0,2.0,128.0,Low,50.5,Bus,70,8.35,107,0.14,0,1898.67,0,0,8.3,2.5,8.3,8.3,No,7,2025,31,July,3
REC000015,2025-11-13,Thursday,Pune,Commercial,CIT221263,25-34,Other,20.1,0.9,88.0,High,20.3,Walking/Cycling,0,9.34,115,0.1,2,1880.56,0,0,5.3,3.8,9.1,7.6,No,11,2025,13,November,4
REC000016,2025-02-15,Saturday,Kolkata,Residential,CIT810219,35-44,Work From Home,24.8,1.4,114.0,Low,43.6,Cab,0,13.09,116,1.86,0,983.11,0,0,9.2,3.4,8.9,9.3,Yes,2,2025,15,February,1
REC000017,2024-04-05,Friday,Kolkata,Commercial,CIT945742,25-34,Office,39.3,1.4,171.0,Medium,36.2,Cab,0,12.17,101,2.84,1,1273.24,0,0,10.4,3.6,7.4,7.8,No,4,2024,5,April,2
REC000018,2025-08-09,Saturday,Mumbai,Residential,CIT800005,35-44,Other,37.3,7.2,174.0,High,17.6,Private Vehicle,0,10.1,53,2.47,1,702.29,0,0,5.1,2.1,7.5,6.3,Yes,8,2025,9,August,3
REC000019,2024-11-18,Monday,Chennai,Residential,CIT435239,45-54,Office,26.2,1.8,121.0,Low,43.2,Auto,0,7.74,160,0.1,1,1642.46,0,0,10.4,2.2,7.1,8.0,No,11,2024,18,November,4
REC000020,2024-03-27,Wednesday,Pune,Commercial,CIT611945,25-34,Student,25.1,1.0,38.0,High,22.6,Walking/Cycling,0,12.37,200,3.49,2,707.38,0,0,4.7,1.3,7.2,6.7,No,3,2024,27,March,1
REC000021,2025-02-15,Saturday,Hyderabad,Industrial,CIT391773,45-54,Student,25.0,0.0,124.0,High,15.2,Cab,0,10.35,80,3.94,0,50.0,0,0,3.6,3.3,8.8,8.2,Yes,2,2025,15,February,1
REC000022,2023-12-02,Saturday,Mumbai,Industrial,CIT426147,18-24,Office,22.2,4.0,41.0,High,13.0,Cab,0,6.5,161,2.43,1,848.55,0,0,10.2,3.6,7.7,7.6,Yes,12,2023,2,December,4
REC000023,2025-05-10,Saturday,Hyderabad,Residential,CIT962276,25-34,Student,37.3,2.6,93.0,Medium,33.7,Walking/Cycling,0,11.37,226,1.46,0,708.0,0,0,4.1,3.3,7.3,9.1,Yes,5,2025,10,May,2
REC000024,2025-10-09,Thursday,Pune,Residential,CIT992288,25-34,Student,25.2,0.4,88.0,High,14.1,Metro,114,6.89,206,5.52,0,890.84,0,0,5.0,0.5,6.7,6.3,No,10,2025,9,October,4
REC000025,2025-12-23,Tuesday,Hyderabad,Residential,CIT460455,25-34,Other,19.7,0.5,156.0,Low,38.9,Metro,73,9.65,116,4.31,1,1685.06,0,1,4.2,2.1,8.3,8.5,No,12,2025,23,December,4
REC000026,2023-04-22,Saturday,Chennai,Residential,CIT680238,25-34,Work From Home,35.0,1.5,103.0,Low,44.6,Bus,116,9.85,143,7.98,0,1404.7,0,0,8.7,2.7,9.4,10.0,Yes,4,2023,22,April,2
REC000027,2024-04-07,Sunday,Pune,Commercial,CIT913373,35-44,Student,30.1,1.3,62.0,Medium,23.0,Walking/Cycling,0,13.67,189,2.64,0,560.76,0,0,5.2,2.8,9.2,8.8,Yes,4,2024,7,April,2
REC000028,2024-04-23,Tuesday,Jaipur,Residential,CIT377405,45-54,Other,26.9,1.6,181.0,Medium,36.5,Private Vehicle,0,8.22,169,4.35,0,845.58,0,0,1.0,0.7,6.9,5.5,No,4,2024,23,April,2
REC000029,2025-06-03,Tuesday,Mumbai,Commercial,CIT870214,25-34,Hybrid,37.1,9.0,105.0,High,10.3,Private Vehicle,0,13.69,91,3.91,0,528.36,0,0,6.1,3.1,7.5,8.5,No,6,2025,3,June,2
REC000030,2024-11-06,Wednesday,Mumbai,Mixed Use,CIT531641,35-44,Hybrid,16.5,1.6,64.0,Low,40.0,Metro,97,12.47,200,0.86,0,1244.66,0,0,7.1,1.3,6.9,6.1,No,11,2024,6,November,4
REC000031,2025-06-16,Monday,Bengaluru,Mixed Use,CIT832168,25-34,Office,34.1,2.2,73.0,High,18.3,Metro,119,13.79,118,6.74,0,1511.02,0,0,9.0,1.8,8.7,9.4,No,6,2025,16,June,2
REC000032,2024-07-19,Friday,Bengaluru,Mixed Use,CIT910208,45-54,Student,28.9,3.3,114.0,High,22.6,Cab,0,7.2,96,0.25,0,384.77,0,0,4.5,2.2,8.8,8.0,No,7,2024,19,July,3
REC000033,2025-08-26,Tuesday,Pune,Residential,CIT839485,55+,Student,24.7,13.8,93.0,Medium,22.6,Auto,0,4.39,96,5.39,1,701.84,0,0,5.9,0.4,8.0,8.6,No,8,2025,26,August,3
REC000034,2025-12-28,Sunday,Mumbai,Mixed Use,CIT498468,55+,Student,25.8,3.1,123.0,High,25.0,Private Vehicle,0,9.75,126,4.19,1,1492.1,0,0,6.6,1.2,8.7,9.2,Yes,12,2025,28,December,4
REC000035,2024-01-04,Thursday,Pune,Commercial,CIT278240,18-24,Other,22.7,0.4,44.0,Low,44.2,Bus,45,14.91,149,6.37,0,394.93,0,0,2.8,0.8,6.8,6.1,No,1,2024,4,January,1
REC000036,2025-02-20,Thursday,Jaipur,Residential,CIT699704,25-34,Hybrid,25.0,7.4,111.0,Low,46.3,Cab,0,17.45,144,3.13,1,50.0,0,0,8.2,2.0,7.2,6.6,No,2,2025,20,February,1
REC000037,2023-03-22,Wednesday,Bengaluru,Commercial,CIT423939,45-54,Office,19.7,0.1,57.0,High,12.6,Metro,73,13.13,135,7.19,0,343.31,0,0,8.9,2.8,6.0,5.7,No,3,2023,22,March,1
REC000038,2025-01-19,Sunday,Pune,Mixed Use,CIT194689,45-54,Office,21.1,0.5,103.0,Low,42.6,Cab,0,11.52,98,6.07,0,50.0,0,0,9.4,0.4,6.9,5.8,Yes,1,2025,19,January,1
REC000039,2023-03-18,Saturday,Mumbai,Residential,CIT419149,55+,Office,34.1,0.2,156.0,Medium,33.9,Walking/Cycling,0,6.62,181,5.03,0,1294.36,0,0,8.6,2.5,8.3,7.6,Yes,3,2023,18,March,1
REC000040,2025-01-04,Saturday,Hyderabad,Commercial,CIT163491,25-34,Work From Home,25.2,5.2,164.0,Low,47.8,Walking/Cycling,0,7.74,183,4.39,3,1681.15,0,0,8.2,1.3,6.5,5.6,Yes,1,2025,4,January,1
REC000041,2023-10-24,Tuesday,Delhi,Residential,CIT236306,35-44,Work From Home,27.6,0.2,224.0,Severe,9.9,Metro,46,11.69,178,4.38,0,973.42,0,0,7.8,1.7,8.2,7.9,No,10,2023,24,October,4
REC000042,2025-09-07,Sunday,Delhi,Residential,CIT988456,25-34,Office,19.5,5.4,183.0,Medium,23.1,Bus,83,8.87,106,3.24,3,1038.69,0,0,7.4,1.8,7.6,5.7,Yes,9,2025,7,September,3
REC000043,2024-04-12,Friday,Kolkata,Residential,CIT533914,25-34,Student,27.1,0.6,177.0,Medium,37.3,Cab,0,8.2,148,5.72,1,1382.57,0,0,3.5,4.7,9.7,8.3,No,4,2024,12,April,2
REC000044,2023-04-16,Sunday,Pune,Mixed Use,CIT401601,35-44,Hybrid,26.3,0.2,59.0,Medium,27.6,Auto,0,9.42,172,4.92,0,247.88,0,0,7.5,2.8,8.0,6.9,Yes,4,2023,16,April,2
REC000045,2024-09-24,Tuesday,Delhi,Residential,CIT456331,25-34,Work From Home,28.7,4.1,140.0,Severe,4.3,Private Vehicle,0,10.18,190,2.71,1,1520.58,0,0,8.3,2.4,7.4,8.2,No,9,2024,24,September,3
REC000046,2025-04-28,Monday,Jaipur,Commercial,CIT386436,25-34,Other,33.5,0.2,123.0,Medium,32.7,Metro,59,11.77,140,3.65,0,918.14,0,0,2.6,2.8,9.7,9.8,No,4,2025,28,April,2
REC000047,2023-03-28,Tuesday,Hyderabad,Residential,CIT557409,18-24,Office,30.5,1.3,73.0,Medium,23.8,Metro,52,10.99,85,6.12,0,50.0,0,0,8.0,1.0,7.0,6.3,No,3,2023,28,March,1
REC000048,2024-02-02,Friday,Mumbai,Commercial,CIT913934,25-34,Work From Home,27.6,0.4,128.0,Severe,10.6,Metro,97,11.08,69,3.93,1,50.0,0,0,8.5,3.0,6.2,4.8,No,2,2024,2,February,1
REC000049,2024-07-16,Tuesday,Jaipur,Commercial,CIT720148,18-24,Other,35.2,0.3,167.0,Low,47.9,Walking/Cycling,0,14.72,177,1.73,2,1804.83,0,0,0.3,3.4,7.8,8.3,No,7,2024,16,July,3
REC000050,2023-06-22,Thursday,Hyderabad,Mixed Use,CIT629057,35-44,Office,37.8,2.3,71.0,Low,42.5,Bus,60,13.46,112,6.21,1,984.52,0,0,9.7,1.8,7.5,9.1,No,6,2023,22,June,2
REC000051,2023-10-17,Tuesday,Hyderabad,Residential,CIT466813,25-34,Student,28.2,0.1,149.0,High,14.9,Metro,90,19.21,94,4.59,1,979.58,0,0,3.1,1.2,8.9,8.0,No,10,2023,17,October,4
REC000052,2023-07-27,Thursday,Chennai,Mixed Use,CIT632351,45-54,Other,39.5,0.3,73.0,Medium,24.6,Private Vehicle,0,17.2,155,0.1,0,355.58,0,0,1.9,2.6,7.4,7.7,No,7,2023,27,July,3
REC000053,2025-08-18,Monday,Chennai,Mixed Use,CIT975679,25-34,Other,36.3,2.6,97.0,Medium,37.5,Private Vehicle,0,12.22,121,3.8,2,2094.5,0,0,0.8,3.3,6.9,6.5,No,8,2025,18,August,3
REC000054,2024-03-30,Saturday,Pune,Residential,CIT956375,25-34,Hybrid,30.0,4.0,43.0,Low,36.6,Bus,51,11.04,202,5.74,0,938.32,0,0,6.9,2.3,9.0,7.5,Yes,3,2024,30,March,1
REC000055,2023-11-03,Friday,Delhi,Residential,CIT675462,55+,Other,19.4,0.5,176.0,Low,43.4,Private Vehicle,0,8.1,150,6.14,0,456.62,0,0,1.9,2.9,9.0,8.4,No,11,2023,3,November,4
REC000056,2025-12-13,Saturday,Hyderabad,Residential,CIT670511,35-44,Other,20.5,1.2,77.0,High,13.8,Metro,98,11.65,103,6.62,1,1214.17,0,0,0.4,0.4,5.3,4.8,Yes,12,2025,13,December,4
REC000057,2023-10-04,Wednesday,Jaipur,Commercial,CIT166165,35-44,Student,26.0,2.3,151.0,Medium,27.0,Bus,101,8.69,147,2.76,1,759.56,0,0,5.6,1.8,9.4,8.5,No,10,2023,4,October,4
REC000058,2025-10-15,Wednesday,Bengaluru,Commercial,CIT485191,55+,Other,22.2,0.5,116.0,Severe,5.8,Bus,30,11.06,127,5.35,0,786.64,0,0,3.6,1.5,6.6,4.4,No,10,2025,15,October,4
REC000059,2025-04-11,Friday,Delhi,Residential,CIT480959,35-44,Work From Home,30.6,1.4,172.0,Low,36.3,Private Vehicle,0,7.74,177,1.19,1,809.34,0,0,7.5,2.3,6.8,5.8,No,4,2025,11,April,2
REC000060,2025-03-03,Monday,Bengaluru,Commercial,CIT688956,18-24,Hybrid,23.4,1.8,92.0,Severe,6.0,Metro,27,13.53,178,6.74,3,2105.34,0,1,7.7,0.0,6.1,4.9,No,3,2025,3,March,1
REC000061,2025-11-07,Friday,Bengaluru,Industrial,CIT335134,18-24,Work From Home,19.4,1.0,58.0,High,17.0,Walking/Cycling,0,13.77,213,5.74,1,1310.37,0,0,7.6,1.0,7.4,8.0,No,11,2025,7,November,4
REC000062,2024-01-08,Monday,Bengaluru,Mixed Use,CIT905077,55+,Student,20.7,1.0,128.0,Medium,24.6,Walking/Cycling,0,5.33,161,8.84,0,805.25,0,0,6.8,2.6,7.9,9.3,No,1,2024,8,January,1
REC000063,2024-11-22,Friday,Bengaluru,Residential,CIT983456,55+,Office,19.1,0.1,77.0,High,19.8,Private Vehicle,0,5.79,177,0.85,0,859.0,0,0,8.9,2.8,6.1,6.0,No,11,2024,22,November,4
